Date,Open,High,Low,Close,Adj Close,Volume
2016-03-04,1.094799,1.104000,1.090800,1.094895,1.094895,0
2016-03-07,1.099396,1.099904,1.094200,1.099396,1.099396,0
2016-03-08,1.101394,1.106000,1.100600,1.101601,1.101601,0
2016-03-09,1.100195,1.101516,1.094799,1.100401,1.100401,0
2016-03-10,1.098696,1.116000,1.082767,1.098901,1.098901,0
2016-03-11,1.117905,1.121001,1.108377,1.117843,1.117843,0
2016-03-14,1.116296,1.116801,1.109600,1.116794,1.116794,0
2016-03-15,1.110198,1.112999,1.107400,1.110198,1.110198,0
2016-03-16,1.111000,1.111099,1.105800,1.110901,1.110901,0
2016-03-17,1.121705,1.134404,1.120800,1.121894,1.121894,0
2016-03-18,1.131542,1.133903,1.125800,1.131798,1.131798,0
2016-03-21,1.127599,1.128999,1.123800,1.127904,1.127904,0
2016-03-22,1.123697,1.126200,1.119194,1.123595,1.123595,0
2016-03-23,1.122297,1.122297,1.116600,1.122297,1.122297,0
2016-03-24,1.118206,1.119000,1.114964,1.118105,1.118105,0
2016-03-25,1.116695,1.117706,1.115673,1.116794,1.116794,0
2016-03-28,1.115997,1.121806,1.115536,1.115997,1.115997,0
2016-03-29,1.120097,1.122400,1.117000,1.120272,1.120272,0
2016-03-30,1.129012,1.136200,1.128796,1.129203,1.129203,0
2016-03-31,1.133401,1.141000,1.131200,1.133466,1.133466,0
2016-04-01,1.137902,1.143800,1.134198,1.137967,1.137967,0
2016-04-04,1.139705,1.141201,1.136000,1.139004,1.139004,0
2016-04-05,1.138706,1.140706,1.134000,1.138900,1.138900,0
2016-04-06,1.138097,1.142800,1.133144,1.138200,1.138200,0
2016-04-07,1.139965,1.145305,1.134000,1.140498,1.140498,0
2016-04-08,1.136906,1.142000,1.135000,1.137398,1.137398,0
2016-04-11,1.140706,1.145001,1.137436,1.140303,1.140303,0
2016-04-12,1.141214,1.146400,1.135306,1.141292,1.141292,0
2016-04-13,1.138602,1.139302,1.127400,1.138498,1.138498,0
2016-04-14,1.128006,1.129400,1.123601,1.127904,1.127904,0
2016-04-15,1.126507,1.131800,1.124758,1.127002,1.127002,0
2016-04-18,1.130097,1.133200,1.127497,1.129995,1.129995,0
2016-04-19,1.131004,1.138602,1.130506,1.130902,1.130902,0
2016-04-20,1.135886,1.138599,1.132200,1.135963,1.135963,0
2016-04-21,1.130506,1.139400,1.127800,1.130506,1.130506,0
2016-04-22,1.129305,1.130902,1.124000,1.129203,1.129203,0
2016-04-25,1.123305,1.127904,1.122700,1.123406,1.123406,0
2016-04-26,1.126672,1.133903,1.125796,1.126900,1.126900,0
2016-04-27,1.129803,1.134000,1.129200,1.129905,1.129905,0
2016-04-28,1.132798,1.136600,1.129905,1.132901,1.132901,0
2016-04-29,1.135796,1.146000,1.135796,1.135589,1.135589,0
2016-05-02,1.146197,1.152800,1.145016,1.146303,1.146303,0
2016-05-03,1.152605,1.161400,1.150400,1.152499,1.152499,0
2016-05-04,1.150245,1.152800,1.146999,1.150404,1.150404,0
2016-05-05,1.149122,1.149600,1.139000,1.149306,1.149306,0
2016-05-06,1.140199,1.147184,1.139328,1.140602,1.140602,0
2016-05-09,1.138797,1.143000,1.137599,1.138797,1.138797,0
2016-05-10,1.138369,1.140599,1.136200,1.138797,1.138797,0
2016-05-11,1.137501,1.144600,1.137398,1.137436,1.137436,0
2016-05-12,1.142596,1.143105,1.138000,1.142700,1.142700,0
2016-05-13,1.137527,1.138006,1.128399,1.137695,1.137695,0
2016-05-16,1.131695,1.134404,1.130544,1.131695,1.131695,0
2016-05-17,1.131606,1.134799,1.130399,1.131606,1.131606,0
2016-05-18,1.131375,1.131695,1.125999,1.131606,1.131606,0
2016-05-19,1.122196,1.123103,1.118200,1.122297,1.122297,0
2016-05-20,1.120160,1.124000,1.119896,1.120599,1.120599,0
2016-05-23,1.122095,1.124303,1.119000,1.122171,1.122171,0
2016-05-24,1.121705,1.123000,1.114600,1.121604,1.121604,0
2016-05-25,1.113697,1.117100,1.112999,1.113797,1.113797,0
2016-05-26,1.115698,1.122000,1.115698,1.115897,1.115897,0
2016-05-27,1.119294,1.120200,1.112599,1.119207,1.119207,0
2016-05-30,1.111099,1.115000,1.110001,1.111000,1.111000,0
2016-05-31,1.115001,1.117599,1.112200,1.114840,1.114840,0
2016-06-01,1.113598,1.119000,1.111704,1.113598,1.113598,0
2016-06-02,1.119294,1.122000,1.115000,1.118906,1.118906,0
2016-06-03,1.115399,1.135000,1.113800,1.115200,1.115200,0
2016-06-06,1.135100,1.138000,1.133324,1.135100,1.135100,0
2016-06-07,1.136467,1.138000,1.134005,1.136402,1.136402,0
2016-06-08,1.135654,1.142000,1.135654,1.135783,1.135783,0
2016-06-09,1.140602,1.141696,1.130800,1.140706,1.140706,0
2016-06-10,1.131196,1.132400,1.127400,1.131503,1.131503,0
2016-06-13,1.124101,1.130200,1.123697,1.124000,1.124000,0
2016-06-14,1.128796,1.129995,1.119000,1.129102,1.129102,0
2016-06-15,1.121302,1.126001,1.119094,1.121302,1.121302,0
2016-06-16,1.126126,1.130000,1.113200,1.126266,1.126266,0
2016-06-17,1.127002,1.129600,1.122600,1.125201,1.125201,0
2016-06-20,1.134906,1.138400,1.130800,1.134906,1.134906,0
2016-06-21,1.132285,1.135000,1.124400,1.132298,1.132298,0
2016-06-22,1.125201,1.133504,1.123760,1.125062,1.125062,0
2016-06-23,1.132798,1.142204,1.132000,1.132824,1.132824,0
2016-06-24,1.133003,1.133517,1.091906,1.132400,1.132400,0
2016-06-27,1.103497,1.108193,1.097400,1.103594,1.103594,0
2016-06-28,1.101601,1.111000,1.101601,1.101503,1.101503,0
2016-06-29,1.107800,1.112805,1.105156,1.107395,1.107395,0
2016-06-30,1.112595,1.115400,1.105400,1.112805,1.112805,0
2016-07-01,1.110371,1.117000,1.107400,1.110605,1.110605,0
2016-07-04,1.113102,1.115000,1.110000,1.113102,1.113102,0
2016-07-05,1.114554,1.118001,1.107600,1.114604,1.114604,0
2016-07-06,1.106439,1.109000,1.103400,1.106501,1.106501,0
2016-07-07,1.110001,1.110800,1.105800,1.109903,1.109903,0
2016-07-08,1.106501,1.110800,1.101000,1.106574,1.106574,0
2016-07-11,1.104704,1.107200,1.102000,1.104399,1.104399,0
2016-07-12,1.105803,1.112400,1.105400,1.105803,1.105803,0
2016-07-13,1.106072,1.111999,1.104400,1.106293,1.106293,0
2016-07-14,1.109595,1.117000,1.109200,1.109496,1.109496,0
2016-07-15,1.110642,1.115700,1.105877,1.110605,1.110605,0
2016-07-18,1.105534,1.109000,1.103826,1.105314,1.105314,0
2016-07-19,1.107138,1.108070,1.100200,1.107187,1.107187,0
2016-07-20,1.101455,1.103000,1.098400,1.101358,1.101358,0
2016-07-21,1.101734,1.105800,1.098601,1.101953,1.101953,0
2016-07-22,1.103314,1.104000,1.096800,1.103290,1.103290,0
2016-07-25,1.096924,1.099800,1.095362,1.097045,1.097045,0
